Ville,Bateau,Date_depart,Date_arrive,Pays_depart,Pays_arrive
Marseille,CELEBRITY BEYOND,28/08/2022 06:54,28/08/2022 18:20, BARCELONA, MARSEILLE
Marseille,MSC OPERA,29/08/2022 07:27,29/08/2022 16:04, GENOVA, BARCELONA
Marseille,WONDER OF THE SEAS,30/08/2022 08:10,30/08/2022 18:10, PALMA DE MALLORCA, MARSEILLE
Marseille,COSTA FIRENZE,02/09/2022 08:27,02/09/2022 19:19, GENOVA, BARCELONA
Marseille,MSC SEASIDE,02/09/2022 10:50,02/09/2022 19:07, VALENCIA, GENOVA
Marseille,MSC SEAVIEW ,03/09/2022 07:13,03/09/2022 16:59, BARCELONA, GENOVA
Marseille,COSTA TOSCANA,03/09/2022 12:15,03/09/2022 18:45, VALENCIA, SAVONA
Marseille,AEGEAN ODYSSEY,04/09/2022 00:42,04/09/2022 21:51, Inconnu, Inconnu
Marseille,MSC SPLENDIDA,04/09/2022 07:10,04/09/2022 16:05, GENOVA, BARCELONA
Marseille,COSTA SMERALDA,04/09/2022 08:00,04/09/2022 18:07, SAVONA, BARCELONA
Marseille,MSC OPERA,05/09/2022 07:20,05/09/2022 16:07, GENOVA, BARCELONA
Marseille,WONDER OF THE SEAS,06/09/2022 08:12,06/09/2022 18:25, PALMA DE MALLORCA, MARSEILLE
Marseille,MSC ORCHESTRA,06/09/2022 08:22,06/09/2022 17:07, GENOVA, MALAGA
Marseille,REGAL PRINCESS,07/09/2022 07:15,07/09/2022 18:15, GIBRALTAR, MARSEILLE
Marseille,COSTA FIRENZE,09/09/2022 08:24,09/09/2022 18:58, GENOVA, BARCELONA
Marseille,MSC SEASIDE,09/09/2022 11:19,09/09/2022 19:05, VALENCIA, GENOVA
Marseille,MSC SEAVIEW ,10/09/2022 07:13,10/09/2022 17:08, BARCELONA, GENOVA
Marseille,COSTA FAVOLOSA,10/09/2022 11:40,25/09/2022 18:35, LA SPEZIA, SAVONA
Marseille,COSTA TOSCANA,10/09/2022 12:15,10/09/2022 18:55, VALENCIA, SAVONA
Marseille,MSC SPLENDIDA,11/09/2022 06:53,11/09/2022 16:42, GENOVA, BARCELONA
Marseille,AZAMARA ONWARD,11/09/2022 07:22,11/09/2022 22:30, SETE, MARSEILLE
Marseille,MSC MAGNIFICA,11/09/2022 07:24,11/09/2022 17:26, MALAGA, GENOVA
Marseille,MARELLA DISCOVERY,11/09/2022 08:00,11/09/2022 16:00, CANNES, IBIZA
Marseille,COSTA SMERALDA,11/09/2022 08:08,11/09/2022 18:08, Inconnu, Inconnu
Marseille,VALIANT LADY,12/09/2022 07:29,12/09/2022 20:07, BARCELONA, CANNES
Marseille,MSC OPERA,12/09/2022 07:40,12/09/2022 16:11, GENOVA, BARCELONA
Marseille,SILVER DAWN,12/09/2022 08:00,12/09/2022 19:00, Inconnu, Inconnu
Marseille,WONDER OF THE SEAS,13/09/2022 08:03,13/09/2022 18:25, PALMA DE MALLORCA, MARSEILLE
Marseille,MSC MAGNIFICA,13/09/2022 08:16,13/09/2022 18:03, MALAGA, GENOVA
Marseille,NORWEGIAN ESCAPE,13/09/2022 09:55,11/10/2022 10:00, CIVITAVECCHIA, CIVITAVECCHIA
Marseille,MSC ORCHESTRA,16/09/2022 06:51,16/09/2022 17:03, GENOVA, MALAGA
Marseille,CELEBRITY BEYOND,16/09/2022 07:13,16/09/2022 18:13, BARCELONA, MARSEILLE
Marseille,COSTA FIRENZE,16/09/2022 08:29,16/09/2022 19:20, GENOVA, BARCELONA
Marseille,MSC SEASIDE,16/09/2022 11:06,16/09/2022 19:10, VALENCIA, GENOVA
Marseille,OOSTERDAM,17/09/2022 06:30,17/09/2022 18:00, BARCELONA, VILLEFRANCHE-SUR-MER
Marseille,MSC SEAVIEW ,17/09/2022 06:45,17/09/2022 17:00, BARCELONA, GENOVA
Marseille,WESTERDAM,17/09/2022 07:00,17/09/2022 18:00, Inconnu, Inconnu
