location,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20221206T0000,2.7905285,83.0,2.1897945,99.46232
20221206T0100,3.2105286,83.0,2.8116899,129.80557
20221206T0200,3.4805286,82.0,4.2136917,109.9831
20221206T0300,3.5705285,81.0,4.73506,98.74616
20221206T0400,3.6205285,82.0,4.73506,98.74616
20221206T0500,3.5805285,84.0,5.1544156,102.09476
20221206T0600,3.5305285,85.0,4.896529,107.10272
20221206T0700,3.4605286,85.0,3.219938,116.56505
20221206T0800,3.3905284,85.0,2.7416782,113.19859
20221206T0900,3.4805286,83.0,1.2979984,146.30994
20221206T1000,3.9805286,79.0,1.0182338,225.0
20221206T1100,4.3105288,78.0,1.5273507,315.0
20221206T1200,4.4905286,78.0,4.2136917,340.0169
20221206T1300,5.0805287,70.0,6.12,331.92752
20221206T1400,5.7605286,67.0,9.085988,326.30994
20221206T1500,5.8405285,67.0,11.269782,333.43497
20221206T1600,5.2405286,71.0,9.504273,335.37643
20221206T1700,4.040529,76.0,9.504272,322.69604
20221206T1800,3.2005286,79.0,8.404285,316.73572
20221206T1900,2.5105286,83.0,8.161764,311.42368
20221206T2000,2.2705286,85.0,8.404285,316.73572
20221206T2100,2.4305286,85.0,8.942214,319.8991
20221206T2200,2.1505284,85.0,8.161764,318.57635
20221206T2300,1.7305287,85.0,7.653705,318.8141
20221207T0000,1.1205287,88.0,6.3690495,317.29062
20221207T0100,1.4005287,86.0,5.8603754,317.48956
20221207T0200,1.6405287,86.0,6.6087217,330.64227
20221207T0300,1.8805287,86.0,7.729527,332.24146
20221207T0400,1.6105287,90.0,9.504273,335.37643
20221207T0500,1.4005287,92.0,9.021574,331.38956
20221207T0600,1.2405287,92.0,7.386582,316.97495
20221207T0700,1.2705287,92.0,5.904439,307.5686
20221207T0800,1.2805287,92.0,6.1305785,319.76367
20221207T0900,1.1605287,91.0,8.699793,335.55603
20221207T1000,1.5305287,87.0,7.5685663,334.65384
20221207T1100,2.5405285,81.0,5.1919937,326.30994
20221207T1200,3.2705286,77.0,5.315336,331.69925
20221207T1300,4.4705286,73.0,5.3999996,323.13013
20221207T1400,4.7805285,70.0,5.154415,294.77515
20221207T1500,4.7705283,70.0,5.8603754,312.51044
20221207T1600,4.4305286,71.0,5.315336,331.69925
20221207T1700,3.7705286,74.0,5.904439,322.43143
20221207T1800,3.3305285,75.0,5.634891,296.56506
20221207T1900,2.8105285,77.0,5.4477882,277.59464
20221207T2000,2.3705285,79.0,4.0249224,259.69516
20221207T2100,1.9705287,82.0,3.396233,237.99463
20221207T2200,1.4105287,84.0,3.319036,220.6013
20221207T2300,0.73052865,86.0,3.7064266,209.05461
20221208T0000,-0.12947133,87.0,4.802999,192.99461
20221208T0100,-0.36947134,86.0,5.4119864,183.81407
20221208T0200,0.09052865,81.0,2.1897945,350.5377
20221208T0300,0.36052868,79.0,1.9386592,338.1986
20221208T0400,0.59052867,79.0,1.835647,348.69006
20221208T0500,0.78052866,79.0,0.35999998,270.0
20221208T0600,0.49052867,80.0,1.08,180.0
20221208T0700,0.48052865,77.0,2.8799999,180.0
20221208T0800,0.31052867,75.0,2.968636,165.96376
20221208T0900,0.59052867,72.0,2.8116899,140.19443
20221208T1000,1.6505287,70.0,3.671294,101.30993
20221208T1100,2.5405285,68.0,5.4119864,93.81408
20221208T1200,3.3705285,66.0,4.452954,75.96376
20221208T1300,4.1905284,61.0,3.8939953,56.30993
20221208T1400,4.7405286,56.0,2.8799999,89.99999
20221208T1500,4.8805285,55.0,3.6179552,84.289406
20221208T1600,4.5505285,56.0,6.618519,44.999985
20221208T1700,4.2705283,56.0,6.638072,49.398697
20221208T1800,3.4605286,59.0,5.04,89.99999
20221208T1900,2.4405286,65.0,5.8048253,119.74488
20221208T2000,1.3905287,71.0,5.8048253,119.74488
20221208T2100,0.73052865,76.0,4.896529,107.10272
20221208T2200,0.34052867,79.0,6.162207,96.70984
20221208T2300,0.21052867,81.0,5.2416787,105.9454
20221209T0000,0.15052865,81.0,6.12,89.99999
20221209T0100,0.6305287,79.0,5.0911684,81.869896
20221209T0200,0.87052864,80.0,7.2,89.99999
20221209T0300,1.1305287,80.0,11.183201,93.69138
20221209T0400,0.9505287,84.0,14.799459,108.434944
20221209T0500,0.49052867,95.0,15.716793,110.09523
20221209T0600,0.62052864,95.0,13.910169,100.43748
