name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T00:00:00,5.8,2.4,3.1,82.7,0,0,rain,0,0,41.4,17.8,80,1002.5,100,10,0,,0,10,Overcast,cloudy,"LFMY,LFMI,LFML,LFTH"
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T01:00:00,5.6,2.5,3.2,84.43,0,0,rain,0,0,46.4,15.1,69,1002.4,100,10,0,,0,10,Overcast,cloudy,"LFMY,LFMI,LFML,LFTH"
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T02:00:00,5.6,2.4,3.7,87.34,0,0,rain,0,0,37.4,16.3,63,1002.9,100,10,0,,0,10,Overcast,cloudy,"LFMY,LFMI,LFML,LFTH"
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T03:00:00,6.4,3.9,4,84.61,0,0,rain,0,0,35.3,12.5,76,1003.1,100,9.9,0,,0,10,Overcast,cloudy,"LFMY,LFMI,LFML,LFTH"
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T04:00:00,6.8,4.3,4,82.47,0.2,100,rain,0,0,25.2,12.9,75,1002.9,100,10,0,,0,10,"Rain, Overcast",rain,"LFMY,LFMI,LFML,LFTH"
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T05:00:00,6.7,4.5,4.2,84.19,0,0,rain,0,0,34.2,11.2,53,1002.1,90.7,10,0,,0,10,Overcast,cloudy,"LFMY,LFMI,LFML,LFTH"
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T06:00:00,6.7,3.7,5,88.97,0,0,rain,0,0,40.3,16.2,48,1002.1,96.3,10,0,,0,10,Overcast,cloudy,"LFMY,LFMI,LFML,LFTH"
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T07:00:00,6.7,4.4,5,88.97,0,0,rain,0,0,54.7,11.7,68,1002.3,90.7,9.5,0,,0,10,Overcast,cloudy,"LFMY,LFMI,LFML,LFTH"
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T08:00:00,6.7,4.5,5.8,93.9,0.3,100,rain,0,0,59.8,10.8,21,1003.1,90.7,8.5,0,,0,10,"Rain, Overcast",rain,"LFMY,LFMI,LFML,LFTH"
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T09:00:00,6.9,4.6,5.8,92.95,0.3,100,rain,0,0,56.9,11.9,76,1004.1,100,9,12,0,0,10,"Rain, Overcast",rain,"LFMY,LFMI,E6174,LFML,LFTH"
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T10:00:00,7.5,5.3,6,90.42,0.6,0,rain,0,0,54,12,119.4,1005.1,90.7,8.9,28,0.1,0,10,Overcast,cloudy,"LFMY,LFMI,E6174,LFML,LFTH"
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T11:00:00,10.9,10.9,7.3,78.45,0.4,90.5,rain,0,0,56.2,24.8,112.5,1005,100,17.4,14,0.1,0,10,"Rain, Overcast",rain,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T12:00:00,11.6,11.6,7.6,76.45,0.1,90.5,rain,0,0,46.8,22.7,114.4,1005,100,18.7,19,0.1,0,10,"Rain, Overcast",rain,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T13:00:00,11.5,11.5,7.8,78.01,0,90.5,rain,0,0,41.8,21.2,117.6,1005,100,24.1,25,0.1,0,10,"Rain, Overcast",rain,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T14:00:00,11.2,11.2,7.5,77.96,0.1,52.4,rain,0,0,41.8,20.2,116.7,1005,100,23.8,37,0.1,0,10,"Rain, Overcast",rain,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T15:00:00,11.4,11.4,7.4,76.41,0,52.4,rain,0,0,38.2,20.2,116.6,1005,100,24.1,22,0.1,0,10,"Rain, Overcast",rain,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T16:00:00,11.6,11.6,7.6,76.45,0,52.4,rain,0,0,37.8,19.4,115.2,1005,100,24.1,30,0.1,0,10,"Rain, Overcast",rain,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T17:00:00,11.4,11.4,7.3,75.89,0,52.4,rain,0,0,38.9,19.4,123.2,1005,100,24.1,4,0,0,10,"Rain, Overcast",rain,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T18:00:00,11.4,11.4,7.6,77.46,0,52.4,rain,0,0,36.7,15.5,102,1005,100,24.1,0,,0,10,"Rain, Overcast",rain,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T19:00:00,11.4,11.4,7.6,77.46,0,52.4,rain,0,0,30.6,15.5,106,1005,100,24.1,0,,0,10,"Rain, Overcast",rain,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T20:00:00,11.4,11.4,7.6,77.46,0,33.3,,0,0,32.4,15.5,101.7,1005,100,24.1,0,,0,10,Overcast,cloudy,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T21:00:00,11.7,11.7,7.6,75.94,0,33.3,,0,0,29.9,11.9,91.1,1005,100,24.1,0,,0,10,Overcast,cloudy,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T22:00:00,11.7,11.7,7.7,76.46,0,33.3,,0,0,28.4,14.4,112.3,1005,99.9,24.1,0,,0,10,Overcast,cloudy,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-13T23:00:00,11.8,11.8,7.9,77,0,33.3,,0,0,28.4,12.6,102.9,1005,90,24.1,0,,0,10,Partially cloudy,partly-cloudy-night,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-14T00:00:00,11.7,11.7,8,78.04,0,33.3,,0,0,32.8,16.6,106.7,1004,99.9,24.1,0,,0,10,Overcast,cloudy,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-14T01:00:00,11.8,11.8,7.8,76.48,0,33.3,,0,0,33.1,17.3,110.1,1004,100,24.1,0,,0,10,Overcast,cloudy,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-14T02:00:00,11.8,11.8,7.9,77,0,47.6,rain,0,0,32.8,11.9,90.6,1004,100,24.1,0,,0,10,"Rain, Overcast",rain,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-14T03:00:00,11.7,11.7,8,78.04,0,47.6,rain,0,0,23.4,8.3,95.1,1003,100,24.1,0,,0,10,"Rain, Overcast",rain,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-14T04:00:00,11.5,11.5,8.1,79.62,0,47.6,rain,0,0,18,9.4,78,1003,100,24.1,0,,0,10,"Rain, Overcast",rain,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-14T05:00:00,11.4,11.4,8,79.6,0.1,47.6,rain,0,0,20.2,9.4,78,1002,100,24.1,0,,0,10,"Rain, Overcast",rain,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-14T06:00:00,11.5,11.5,8.3,80.71,0.3,47.6,rain,0,0,18.7,6.1,54.9,1002,100,24.1,0,,0,10,"Rain, Overcast",rain,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-14T07:00:00,11.4,11.4,8.4,81.8,0.4,47.6,rain,0,0,11.9,3.6,102.2,1002,99.3,23.5,0,,0,10,"Rain, Overcast",rain,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-14T08:00:00,11.4,11.4,8.3,81.24,0.1,23.8,rain,0,0,9,4.7,39,1002,99.1,22.8,0,,0,10,Overcast,cloudy,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-14T09:00:00,11.4,11.4,8.1,80.15,0,23.8,rain,0,0,8.3,3.6,33.7,1003,100,10.5,2,0,0,10,Overcast,cloudy,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-14T10:00:00,11.4,11.4,7.9,79.06,0.1,23.8,rain,0,0,8.3,3.6,8.4,1003,100,16.5,6,0,0,10,Overcast,cloudy,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-14T11:00:00,11.6,11.6,8,78.56,0,23.8,,0,0,10.4,5.4,336.8,1004,100,24.1,20,0.1,0,10,Overcast,cloudy,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-14T12:00:00,11.4,11.4,8.4,81.8,0.1,23.8,rain,0,0,13,6.5,316.2,1005,100,24.1,185,0.7,2,10,Overcast,cloudy,
"Marseille, Provence-Alpes-Côte d'Azur, France",2022-12-14T13:00:00,11.2,11.2,8.4,82.89,0.4,23.8,rain,0,0,13.3,5,315.7,1004,99.3,24.1,112,0.4,1,10,Overcast,cloudy,
